Melyik sportágban érhet hozzá mindegyik játékos lábbal a játékszerhez?,jégkorong,kosárlabda,kézilabda,golf,1,
Milyen ajándékot NEM adtak a kis Jézusnak a napkeleti bölcsek?,sáfrány,arany,mirha,tömjén,1,
Milyen színű a navik bőre az Avatar című filmben?,kék,piros,az emberéhez hasonló,barna,1,
Melyik NEM lehet egy számnak a 21-gyel való osztási maradéka az alábbiak közül?,21,14,7,1,1,
Milyen növényi részt nevezünk más néven pollennek?,virágpor,mag,szár,virágszirom,1,
Mennyi 225 nulladik hatványa?,1,0,225,nem létezik nulladik hatvány,1,
Hol terem a banán?,fán,bokron,földön,talajban,1,
Melyik NEM az egyenáram hatása?,fénytörés,hőhatás,mágneses hatás,kémiai hatás,1,
Melyik egyenlő a nehézségi erővel?,gravitációs erő,csúszási súrlódási erő,gördülési erő,közegellenállás,1,
Mi az Eötvös József Gimnázium címe?,Reáltanoda utca 7.,Kossuth Lajos tér 1.,Magyar utca 4.,Reáltanoda utca 5.,1,
Mi határozza meg egyértelműen a kört?,a középpontja és a sugara,egy húrja,a köríve,az átmérője,2,
Az alábbiak közül melyik származtatott fizikai mennyiség?,nyomás,hőmérséklet,idő,tömeg,2,
Mi a taverna?,étterem,börtön,múzeum,kórház,2,
Milyen fagyi fogyott el Bud Spencer szerint az És megint dühbe jövünk című filmben?,pisztácia,vanília,tutti-frutti,karamell,2,
Melyik bolygón a legnagyobb a gravitáció?,Jupiter,Föld,Neptunusz,Szaturnusz,2,
Melyik nap NEM esik automatikusan hétfőre?,Újév napja,Húsvét második napja,Pünkösd második napja,január utolsó hetének első munkanapja,2,
Az alábbiak közül melyik NEM honfoglaló magyar törzs volt?,Előd,Jenő,Nyék,Tarján,2,
Melyik kifejezés a kakukktojás?,felönt a garatra,olajra lép,kereket old,lelécel,2,
Melyik növény az alábbiak közül?,kutyatej,kecsketej,tehéntej,anyatej,2,
Hogyan nevezik a Londoni Westminster-palota toronyórájának harangját?,Big Ben,Loud Bell,Bing-bang,Big Bell,2,ez a Big Bell nagyon tetszik
Melyik magyar költő NEM Budapesten halt meg?,József Attila,Ady Endre,Áprily Lajos,Babits Mihály,3,
Melyik a legnagyobb energiájú sugárzás az alábbiak közül?,gamma-sugárzás,mikrohullámú sugárzás,ultraibolya sugárzás,infravörös sugárzás,3,
Melyik aktív áramköri elem az alábbiak közül?,tranzisztor,ellenállás,kondenzátor,tekercs,3,
Milyen becenevű labdarúgó NEM volt az Aranycsapatban az alábbiak közül?,Fehér Pelé,Kocka,Cucu,Fekete párduc,3,
Ki NEM Ádám és Éva gyermeke?,Ábrahám,Séth,Káin,Ábel,3,
Melyik két csont alkotja az alkart?,orsócsont és singcsont,szárkapocscsont és sípcsont,kulcscsont és lapockacsont,keresztcsont és kéztőcsont,3,
Milyen jármű NEM készült napjainkig atommeghajtással?,repülőgép,tengeralattjáró,jégtörő,repülőgép-hordozó,3,
"Melyiknek van elsőbbsége a körforgalomban akkor is, ha nem balról jön?",villamos,kerékpár,trolibusz,autóbusz,3,
"Hogyan büntették az ókorban Hammurapi törvénye szerint a fiút, aki megütötte az apját?",kézlevágással,megkövezéssel,tíz hónap fogsággal,száz ostorcsapással,3,
Melyik nem madár az alábbiak közül?,narvál,gulipán,kuvik,tengelic,3,
Melyik nagy hegylánc “alja” ér el hazánk nyugati részéig?,Alpok,Andok,Kárpátok,Pireneusok,4,
Az alábbi országok zászlói közül melyik NEM két színű?,Bulgária,Görögország,Lengyelország,Ausztria,4,
Melyik ütőhangszer származik latin-amerikai területekről?,Guiro,Darbuka,Konga,Triangulum,4,
Mi az interferencia?,hullámok találkozása,hullámok behatolása új közegbe,hullámok visszaverődése,hullámhossz,4,
Melyik NEM atlétikai sportág?,lólengés,maratoni futás,magasugrás,gerelyhajítás,4,
Melyik országot nevezik a gótika hazájának?,Franciaország,Olaszország,Spanyolország,Magyarország,4,
Az alábbiak közül melyik vers NEM rímel?,József Attila: Mama,Juhász Gyula: Anna örök,Petőfi Sándor: Falu végén kurta kocsma,Arany János: Epilógus,4,
"Mi a vegyjele annak az elemnek, amiért Júdás elárulta Jézust?",Ag,Br,Au,Cl,4,
Milyen álmot hozzon az éj Horváth Charlie dalában?,könnyű,édes,rém,valóra vált,4,
Melyik sorozatban játszott főszerep hozta meg az ismertséget David Hasselhoffnak?,Knight Rider,Baywatch,"Walker, a texasi kopó",Dinasztia,4,
Melyik NEM egy lakóingatlan?,krédli,kulipintyó,kúria,kalyiba,5,
Melyik évben süllyedt el a Titanic?,1912,1932,1921,1915,5,
Melyik város NEM az Egyesült Királysághoz tartozik?,Dublin,Belfast,Cardiff,London,5,
Mi Dél-Korea fővárosa?,Szöul(Seoul),Phenjan(Pyongyang),Puszan,Incshon,5,
Melyik madárnak van a legkisebb tojása?,kakukk,kormorán,királypingvin,karvaly,5,
Melyik növény NEM jelenik meg a hűség szimbólumaként?,bodzavirág,árvácska,bambusz,borostyán,5,
Melyik rajzfilm készült 1940 előtt?,Hófehérke és a hét törpe,Bambi,Hamupipőke,Csipkerózsika,5,
Melyik kártyajáték során osztják ki kezdéskor valamennyi lapot a játékosoknak?,ulti,römi,zsír,póker,5,
"Mire utal Federico Fellini filmjének címe, a 8 1/2?",az addig rendezett filmjeire,a főszereplő életkorára,a film hosszára,a film halálos áldozataira,5,
Melyik kutyafajta NEM vadászkutya?,kuvasz,magyar agár,beagle,erdélyi kopó,5,
"Az alábbi nyomozók, detektívek közül kinek NINCS állandó segítője?",Columbo hadnagy,Sherlock Holmes,Hercule Poirot,Dowling atya,6,
Hol állítják fel a hagyománynak megfelelően New York város karácsonyfáját?,Az Empire State Building mellett,a Rockefeller Center előtt,a Ground Zeronál,a Bank of New York mellett,6,
Melyik mesterember NEM állatbőrök feldolgozásával foglalkozott?,takács,tímár,szűcs,varga,6,
Milyen anyagból NEM készült soha 2 forintos forgalmi érme Magyarországon?,ezüstből,sárgarézből,réznikkelből,alumíniumból,6,
Melyik NEM valósult meg Széchenyi alábbi reformprogramjai közül?,önkéntes örökváltság,Lánchíd építése,kaszinók szervezése,selyemhernyó-tenyészéts népszerűsítése,6,
Milyen rokoni kapcsolat volt Szilágyi Erzsébet és Corvin János között?,nagyanya-unoka,nővér-öcs,édesanya-fiú,feleség-férj,6,
Melyik évben jelent meg az első Keresztapa?,1972,1974,1968,1981,6,
"Melyik az az ország, ahol sem vasút, sem autópálya NEM található?",Málta,Ciprus,Luxemburg,Magyarország,6,
Melyik emberi szervben találhatók a vitorlás billentyűk?,szívben,tüdőben,gyomorban,vénákban,6,
Melyik a legnagyobb vízesés a világon?,Angel-vízesés (Venezuela),Viktória-vízesés (Zambia/Zimbabwe),Niagara-vízesés (USA/Kanada),Sutherland-vízesés (Új-Zéland),7,
Az alábbi hangszerek közül melyik NEM billentyűs?,vibrafon,klavikord,fortepiano,csembaló,7,
"Melyik foglalkozáshoz köthető eredetileg a ""Nagy feneket kerít neki."" szólás?",kádár,szakács,szabó,kútásó,7,
Melyik szerv NEM az emberi test jobb oldalán található?,lép,máj,epehólyag,vakbél,7,
Melyik NEM olasz divatmára?,Christian Lacroix,Paul Shark,Gianni Versace,Prada,7,
Melyik ma is népszerű édességet nevezték el a feltalálásakor tündérpehelynek?,a vattacukrot,a pillecukrot,a nyalókát,a habcsókot,7,
"Kinek a portréja szerepelt mind a régi, mind az új típusú forint bankjegyeken?",II. Rákóczi Ferenc,Bethlen Gábor,Deák Ferenc,I. (Szent) István,7,
Melyik fegyverrel NEM lőhettek a két világháború egyike során sem?,Kalasnyikov-gépkarabély,Maxim-géppuska,elöltöltős puska,Mauser pisztoly,7,
Melyik színész nyerte el a legjobb férfi főszereplő Oscar-díjat a Philadelphia és a Forrest Gump filmekért?,Tom Hanks,Denzel Washington,Antonio Banderas,Gary Sinise,7,
Ki javasolta először Magyarországon a jobbágyfelszabadítást?,II. Rákóczi Ferenc,Hadik András,II. József,Széchenyi István,7,
Melyik szó jelent feszítővasat az alábbiak közül? (lehet ez csak lányként nekem nehezebb),pajszer,paláver,poszter,páter,7,
Melyik csont a koponya része az alábbiak közül,járomcsont,szárkapocscsont,episztrófeusz,singcsont,8,
Hányszorosa a Nap átmérője a Hold átmérőjének?,400-szorosa,350-szerese,560-szorosa,800-szorosa,8,
Melyik régi magyar szó jelent női mellényszerű ruhadarabot?,rékli,lésza,srót,beli,11,
Ki játszotta a Patás szerepét az Indul a bakterház című filmben?,Haumann Péter,Koltai Róbert,Olvasztó Imre,Bánhidi László,8,
Ki NEM ír származású az alábbi írók közül?,Sir Arthur Conan Doyle,James Joyce,Samuel Beckett,George Bernard Shaw,11,
Melyik fafaj NEM őshonos Magyarországon?,fehér akác,barkócaberkenye,tatár juhar,rezgő nyár,8,
Mivel foglalkozott kezdetben a Peugeot cég?,penge- és fűrészgyártás,olajfúrás,bútorkészítés,hordókészítés,9,
Miből készül a tabasco szósz?,"paprika, só, ecet","bors, mustár, só","torma, olaj, köménymag","tejföl, mustár, bors",8,
Melyik növényt honosították meg az európaiak amerikában?,kakaó,dohány,cukornád,kukorica,8,
Melyik sportág kiválósága volt Maróczy Géza?,sakk,úszás,tenisz,jégkorong,9,
Milyen hangszer híres készítője Antonio Stradivari,hegedű,klarinét,zongora,brácsa,10,
"Hány fok van, amikor a Celsius- és a Fahrenheit-skála ugyanazt az értéket mutatja?",-40,32,0,-273,10,
Melyik szín a legszebb Kosztolányi Dezső Mostan színes tintákról álmodom című verse szerint?,sárga,fekete,piros,zöld,9,
"Mi az eredeti foglalkozása Pelikán Józsefnek, A tanú című film főszereplőjének?",gátőr,mészáros,földműves,szabó,9,
Hány szíve van egy polipnak?,3,1,2,4,8,
Melyik tenger partján fekszik Rodostó?,Márvány-tenger,Fekete-tenger,Égei-tenger,Földközi-tenger,9,
Melyik hollywoodi filmstúdió logójában szerepel egy fáklyát tartó nő?,Columbia,Paramount,Metro-Goldwin-Mayer,Universal,9,
Kicsoda Bacchus isten megfelelője a görög mitológiában?,Dionüszosz,Apollón,Hádész,Árész,9,
"Ki volt az az amerikai atléta, aki 4 egymást követő olimpián is megnyerte ugyanazt a versenyszámot?","Al Oerter, férfi diszkoszvetés","Michael Johnson, kosárlabda","Jesse Owens, távolugrás","Carl Lewis, 100 méteres síkfutás",9,
Hová rejtette a zászlóalj zsoldját Molnár Ferenc tizedes A tizedes meg a többiek című filmben?,kézigránátokba,az élelem közé,a sapkájába,a géppisztolyába,12,
Melyik állat nevét rejti a koktél szó?,kakas,kobra,kakadu,karvaly,10,
Mi díszíti a magyar királyi jogart?,hegyikristály gömb,egy 256 oldalú smaragd,faragott elefántcsont,egy aranycsillag,10,
Hol található Magyarország Nemzetközi Vízi határkikötője?,Mohács,Baja,Barcs,Komárom,10,
"Milyen nemzetiségű volt Nikolaus August Otto, a róla elnevezett Otto-motor feltalálója?",német,svájci,olasz,finn,10,
Ki volt az újkori olimpiai játékok első győztese?,James B. Connolly,Pierre de Coubertin,Hajós Alfréd,Ray Ewry,10,
Melyik festő alkotása a ‘San Giorgio Maggiore alkonyatkor’?,Claude Monet,Pierre August Renoir,Otto D'Angelo,Rembrandt,10,
"Hogy hívták a magyar rendőrkutyát, akiről a 70-es években még filmsorozat is készült?",Kántor,Bátor,Cimbora,Mancs,10,
Ki az aneszteziológus?,altatóorvos,bőrgyógyász,nőgyógyász,kutató,10,
Ki tervezte a Széchenyi-hegyen található Széchenyi emléket/kilátót?,Ybl Miklós,Makovecz Imre,Steindl Imre,Siklós Mária,10,
Milyen néven lett magyar király Mária Terézia magyar királynő negyedik gyermeke?,II. József,IV. Károly,III.Károly,I. József,10,
Hány napraforgó volt Van Gogh harmadik ‘Napraforgók’ (Sunflowers) című festményén?,12,6,8,16,11,
"Melyik Shakespeare-drámában hangzik el az ""Országomat egy lóért!"" mondat?",III. Richárd,Lear király,Macbeth,"Othello, a velencei mór",12,
Az alábbiak közül melyik film NEM A Gyűrűk Ura trilógia része?,A gyűrű átka,A Gyűrű Szövetsége,A két torony,A király visszatér,13,
Melyik szigeten van Európa legdélibb városa?,Kréta,Ciprus,Rhodosz,Szicília,14,
Az alábbiak közül melyik országot NEM érinti a Nílus folyó?,Marokkó,Egyiptom,Tanzánia,Ruanda,15,
Ki írta a Börtönversek 1950-1953 című kötetet?,Faludy György,Zelk Zoltán,Böszörményi Géza,Radnóti Miklós,12,
Ki NEM volt az emigráns magyar irodalom 1945. utáni képviselője?,Páskándi Géza,Zilahy Lajos,Wass Albert,Márai Sándor,13,
Az Aranycsapat melyik tagja vesztette életét egy kórház ablakából kiesve?,Kocsis Sándor,Puskás Ferenc,Bozsik József,Czibor Zoltán,14,
Milyen poszt NINCS a kézilabdában?,center,kapus,irányító,beállós,15,
Hol található a Magyar Nemzeti Galéria?,a budai várban,a Hősök terén,a Blaha Lujza téren,a Citadellában,12,
Mit jelent a kommutativitás?,felcserélhetőség,oszthatóság,csoportosíthatóság,egyenlőtlenség,13,
"Az alábbiak közül melyik hangszernek van ""lelke"" a mondás szerint?",hegedű,gitár,zongora,fuvola,14,
Melyik időszakban és helyszínen játszódik a Monty Python csoport Brian élete című filmje?,"a normann hódítás idején, Angliában",az ókori Júdeában,"a középkori nagy pestisjárvány idején, Itáliában","a jövőben, az Alfa holdbázison",15,
Melyik NEM a felső légutak része?,tüdő,gége,orr,garat,14,
Melyik állat viseli az ezüst oroszlán nevet is?,puma,leopárd,hiéna,tigris,13,
Melyik állam fővárosa fekszik az ország mértani középpontja közelében?,Spanyolország,Kanada,Franciaország,Németország,12,
Melyik államban NEM rendeznek nemzeti labdarúgó-bajnokságot?,Liechteinstein,Ciprus,Málta,Azerbajdzsán,12,
Az alábbi énekesek közül kit NEM ütött lovaggá II. Erzsébet angol királynő?,John Lennon,Mick Jagger,Elton John,Tom Jones,13,
Melyik NEM növény?,rókagomba,kutyatej,szamárkóró,békalencse,11,
Melyik zenekar szerezte a Rózsafa dal című számot?,Máklikőr,M.Á.K.,Bill Haley and His Comets,AWS,11,
Milyen motoro hajtotta  Ford Model T-t?,soros négyhengeres,soros hathengeres,kéthengeres,négyhengeres bokszer,11,
Az alábbiak közül melyik település van legközelebb a magyar határhoz?,Nagyvárad,Nagybánya,Nyíregyháza,Kaposvár,12,
Melyik kikötővárost nevezik a világ kapujának?,Hamburg,Marseille,Genova,Rotterdam,13,
Mi az indiánor?,sütemény,sátor,kézifúró,bölény,14,
Ki írta a Ki viszi át a szerelmet című verset?,Nagy László,Babits Mihály,Kosztolányi Dezső,Pilinszky János,15,
"Melyik könyvben hangzik el: ""A háború: béke""?",1984,Háború és béke,Hallgatni akartam,Bűn és bűnhődés,14,
Hogy hívták Bánk bán feleségét?,Melinda,Katalin,Julianna,Johanna,13,
"Hogy folytatódik ""A csitári hegyek alatt"" kezdetű népdal?",Régen leesett a hó,Véled elesett a ló,Elolvadt a téli hó,Elesett a sánta ló,12,
Ki a magyar mentőszolgálat szóvivője? ,Győrfi Pál ,Vágó István,Sas Tamás ,Karácsony Gergely ,1,
Mi Irán hivatalos nyelve?,Perzsa,Arab,Iráni,Kurd,11,
Hogy hívják a kis herceg bolygóját? ,Föld ,Rózsa Bolygója,X-124,B-612,12,
Hány lépcsőfok egy Hitcock film címe? ,24,39,69,82,13,
"Kinek a hajói voltak a Nina, és a Pinata?",Magellán,Kolombusz Kristóf,James Cook,Feketeszakáll,14,
Ki nyerte a Forma-1 Magyar Nagydíjat 2012-ben?,Kimi Raikkönnen,Sebastian Vettel ,Lewis Hamilton,Felipe Massa,12,
Ki a DÖ királya?,Péntek Endre,Mészáros Zoltán,Domján Roland,Simonyi Vencel,15,
Hol lakik az Eötvös szellem?,a Reáltanoda utca 7. alatt,az Apáczaiban,az etil-alkoholban,a dolgozatokban,15,
